organization,identity,purpose,issued_in,ca_root,ca_root_sha256,issuer,subject,serial_hex,aki_hex,ski_hex,san,key_usage,extended_key_usage,not_before_utc,not_after_utc,cert_sha256,public_key_sha256,supply_user_id,supply_role,cert_path,cert_owner_uid_gid,cert_mode,key_owner_uid_gid,key_mode,identity_dir_mode,key_matches_cert,local_root_copy,chain_verifies
buyer,buyer-admin1,organization admin ECert,M1 #10,buyer-enroll-ca,8B:57:A9:8D:F8:BB:8A:09:AE:88:CA:8C:56:EE:DB:96:DF:E0:65:FC:E8:BD:68:D9:C0:B8:B8:BF:3A:E5:12:52,"CN=buyer-enroll-ca,OU=buyer enroll CA,O=SupplyLedger Lab,C=CN","CN=buyer-admin1,OU=admin,O=Hyperledger,ST=North Carolina,C=US",02CB8F48C62EF5901DD8979DE45FE85B0FA2B1E8,96:C5:DE:3E:4F:D8:A0:80:86:B1:FB:FB:18:55:03:0B:D3:BF:CF:D4,71:4D:32:56:A7:57:E3:6B:68:30:89:52:EB:AA:67:32:9D:CB:22:09,DNS:5590d26a909a,Digital Signature,ABSENT,2026-09-24 12:28:00Z,2027-09-24 13:31:00Z,50:AA:46:2C:35:BC:48:AA:C5:66:D7:DB:E6:8A:70:F1:EA:AC:CD:C5:1E:26:94:34:45:F5:6A:09:CE:2F:87:7B,7fd270f4997f2a089e14de49219d10f3af1985093f441477c4abcd98870e7d56,,,.runtime/identities/buyer/buyer-admin1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,buyer-client1,attribute-free client ECert,M1 #10,buyer-enroll-ca,8B:57:A9:8D:F8:BB:8A:09:AE:88:CA:8C:56:EE:DB:96:DF:E0:65:FC:E8:BD:68:D9:C0:B8:B8:BF:3A:E5:12:52,"CN=buyer-enroll-ca,OU=buyer enroll CA,O=SupplyLedger Lab,C=CN","CN=buyer-client1,OU=client,O=Hyperledger,ST=North Carolina,C=US",20899809CD53091F3CDC616AA28B6A700F0631ED,96:C5:DE:3E:4F:D8:A0:80:86:B1:FB:FB:18:55:03:0B:D3:BF:CF:D4,ED:0F:E9:80:0C:29:1B:F0:06:93:15:D2:88:74:3B:12:22:36:35:2A,DNS:86f6cd694fd0,Digital Signature,ABSENT,2026-09-24 12:28:00Z,2027-09-24 13:31:00Z,B3:D9:E7:8D:BE:20:9F:34:DA:67:01:37:E6:8E:F4:45:FF:AB:2E:F8:24:C3:1C:FE:D6:85:71:36:9D:ED:FE:F2,91db6637ec0619a78780d25ea068bc4422cf3da485a4bbb1f19a448b10bb1892,,,.runtime/identities/buyer/buyer-client1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,buyer-operator1,business user ECert,M1 #10,buyer-enroll-ca,8B:57:A9:8D:F8:BB:8A:09:AE:88:CA:8C:56:EE:DB:96:DF:E0:65:FC:E8:BD:68:D9:C0:B8:B8:BF:3A:E5:12:52,"CN=buyer-enroll-ca,OU=buyer enroll CA,O=SupplyLedger Lab,C=CN","CN=buyer-operator1,OU=client,O=Hyperledger,ST=North Carolina,C=US",401408EAF467D7AE95D268FC6586D7123E24FBDB,96:C5:DE:3E:4F:D8:A0:80:86:B1:FB:FB:18:55:03:0B:D3:BF:CF:D4,86:B6:EE:53:C9:D4:EB:42:04:B2:F7:5B:12:C8:61:D4:65:36:82:2B,DNS:3557fd7485f0,Digital Signature,ABSENT,2026-09-24 12:28:00Z,2027-09-24 13:29:00Z,92:6C:8F:C1:A1:41:0B:D2:66:26:51:46:89:ED:4E:90:FA:0A:F1:B2:0F:E5:00:4F:A1:75:D1:A7:32:57:88:4C,22e74de6b6b2071720249cf3e54e8304960b3e5193b39bd500c43c28cf4ee3dc,buyer.operator1,operator,.runtime/identities/buyer/buyer-operator1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,buyer-peer0,Peer node ECert,M1 #10,buyer-enroll-ca,8B:57:A9:8D:F8:BB:8A:09:AE:88:CA:8C:56:EE:DB:96:DF:E0:65:FC:E8:BD:68:D9:C0:B8:B8:BF:3A:E5:12:52,"CN=buyer-enroll-ca,OU=buyer enroll CA,O=SupplyLedger Lab,C=CN","CN=buyer-peer0,OU=peer,O=Hyperledger,ST=North Carolina,C=US",054E0059E8CD99959E5BFD1445062DC67443A60E,96:C5:DE:3E:4F:D8:A0:80:86:B1:FB:FB:18:55:03:0B:D3:BF:CF:D4,18:93:99:4F:9E:F2:96:59:BA:8E:F1:CC:E2:20:5D:86:7F:79:94:20,DNS:050ae1f7bb3d,Digital Signature,ABSENT,2026-09-24 12:28:00Z,2027-09-24 13:32:00Z,2B:C1:91:F0:45:5C:71:63:B6:5E:71:CD:2B:00:F5:75:B1:EC:36:3D:83:CE:36:76:14:88:0E:C5:84:9E:20:17,ae9cb62450a7ad983c308395604968443539771d71ca5f8a7649f240c5a6bc77,,,.runtime/identities/buyer/buyer-peer0/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,buyer-peer0-tls,Peer TLS node,M1 #10,buyer-tls-ca,5E:C8:AD:97:97:6E:49:65:06:DD:69:45:9A:63:D1:05:42:9C:36:A0:19:AA:DE:50:DE:32:3F:A3:C2:40:C3:54,"CN=buyer-tls-ca,OU=buyer tls CA,O=SupplyLedger Lab,C=CN","CN=buyer-peer0-tls,OU=peer,O=Hyperledger,ST=North Carolina,C=US",7D7BD0DB3FF4A71CF1B30562A76B871269CF23C2,C8:CB:03:79:C6:9D:13:79:FB:E8:4A:26:C3:5E:7A:37:E9:73:C5:44,10:8B:F0:34:77:CA:BE:E1:06:63:A9:08:21:0C:A8:6F:62:08:B7:32,DNS:peer0.buyer.supply.test,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:19:00Z,2027-09-24 13:33:00Z,36:E0:6D:3B:83:58:4A:7E:74:86:00:F5:FB:F1:51:E3:0D:3B:54:1E:61:C6:39:19:09:C7:FB:59:BD:F4:1B:3E,2ab4bc4879e8307f107dadf050d02cfd12e3f3f80fa850cb166293203b552f5e,,,.runtime/identities/buyer/buyer-peer0-tls/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,buyer-quality1,business user ECert,M1 #10,buyer-enroll-ca,8B:57:A9:8D:F8:BB:8A:09:AE:88:CA:8C:56:EE:DB:96:DF:E0:65:FC:E8:BD:68:D9:C0:B8:B8:BF:3A:E5:12:52,"CN=buyer-enroll-ca,OU=buyer enroll CA,O=SupplyLedger Lab,C=CN","CN=buyer-quality1,OU=client,O=Hyperledger,ST=North Carolina,C=US",0A3B0DDC8646E99F84E1F897EBF2C57B4F29EFCE,96:C5:DE:3E:4F:D8:A0:80:86:B1:FB:FB:18:55:03:0B:D3:BF:CF:D4,52:38:48:E8:5B:28:75:8D:10:E4:04:BE:E2:79:DA:0C:D5:B9:8F:88,DNS:0d2720864add,Digital Signature,ABSENT,2026-09-24 12:28:00Z,2027-09-24 13:30:00Z,1F:E4:F4:86:2B:68:84:67:6E:56:82:53:BA:D3:3C:10:5C:8E:F2:D7:D5:E5:23:4F:41:92:F2:E4:C0:84:3B:78,4bc8acd99da4b4bde8a2c96cfe0dbbcb04db65a15474512f19991b03c4d4b132,buyer.quality1,quality,.runtime/identities/buyer/buyer-quality1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,enroll-registrar,CA registrar,M1 #10,buyer-enroll-ca,8B:57:A9:8D:F8:BB:8A:09:AE:88:CA:8C:56:EE:DB:96:DF:E0:65:FC:E8:BD:68:D9:C0:B8:B8:BF:3A:E5:12:52,"CN=buyer-enroll-ca,OU=buyer enroll CA,O=SupplyLedger Lab,C=CN","CN=buyer-enroll-registrar,OU=client,O=Hyperledger,ST=North Carolina,C=US",06B8EBD64AFD6AB015B32DFD2C7A6036DE0A6522,96:C5:DE:3E:4F:D8:A0:80:86:B1:FB:FB:18:55:03:0B:D3:BF:CF:D4,80:D9:D3:55:30:F7:DF:B1:75:61:A9:D2:53:2C:62:93:50:07:45:58,DNS:7b83ee1ed8a5,Digital Signature,ABSENT,2026-09-24 12:28:00Z,2027-09-24 13:13:00Z,1D:8B:7E:7E:A3:61:28:7D:49:24:DA:3A:B1:17:8D:8E:98:7D:4A:5F:E9:9F:E5:92:3C:FE:F9:76:6B:49:6D:E1,be452c9c65fcb6ba5bdf65ca5b7fb954e236ed2afe9ced2aafa029cf2450794e,,,.runtime/identities/buyer/enroll-registrar/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,enroll-server-tls,Enrollment CA HTTPS server,M1 #9,buyer-tls-ca,5E:C8:AD:97:97:6E:49:65:06:DD:69:45:9A:63:D1:05:42:9C:36:A0:19:AA:DE:50:DE:32:3F:A3:C2:40:C3:54,"CN=buyer-tls-ca,OU=buyer tls CA,O=SupplyLedger Lab,C=CN","CN=buyer-enroll-server-tls,OU=client,O=Hyperledger,ST=North Carolina,C=US",1AA94EF8B4A0C1B289FEEFF31200A039C408649E,C8:CB:03:79:C6:9D:13:79:FB:E8:4A:26:C3:5E:7A:37:E9:73:C5:44,EE:63:D8:AA:1D:84:27:7C:59:43:63:15:07:BA:F7:5A:AE:00:82:E2,DNS:ca-enroll.buyer.supply.test,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:19:00Z,2027-09-24 12:32:00Z,D5:20:4C:C1:9B:00:5C:8E:EA:9B:FF:98:8D:CE:5B:6C:84:63:0E:26:A7:4C:D4:D8:3A:D4:BF:04:3B:0A:6C:57,3428b5146f5d624c1cc6570d97db445f4279333d8ec334179a83da004aaa386b,,,.runtime/identities/buyer/enroll-server-tls/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
buyer,tls-registrar,CA registrar,M1 #9,buyer-tls-ca,5E:C8:AD:97:97:6E:49:65:06:DD:69:45:9A:63:D1:05:42:9C:36:A0:19:AA:DE:50:DE:32:3F:A3:C2:40:C3:54,"CN=buyer-tls-ca,OU=buyer tls CA,O=SupplyLedger Lab,C=CN","CN=buyer-tls-registrar,OU=client,O=Hyperledger,ST=North Carolina,C=US",207CDE7199934538A69FF4EB414926B057385A75,C8:CB:03:79:C6:9D:13:79:FB:E8:4A:26:C3:5E:7A:37:E9:73:C5:44,B4:51:C8:0F:65:3D:6F:AE:3D:59:0B:65:17:09:F9:95:ED:A1:DA:5E,DNS:263bb581db21,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:19:00Z,2027-09-24 12:32:00Z,8F:4A:5B:F6:C6:A4:B1:2D:15:26:D7:22:FE:12:35:0E:CC:99:DA:45:05:9B:A3:F2:EF:AE:C8:8A:A1:22:99:18,c35943f56bfe0b2bf9787244ef2fde3499b8dac3be5ccd089d116c804e944129,,,.runtime/identities/buyer/tls-registrar/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,carrier-admin1,organization admin ECert,M1 #10,carrier-enroll-ca,98:F5:9C:F2:AD:E1:C0:96:08:1E:34:6D:48:B5:69:17:0B:8B:01:18:A7:99:D0:D5:58:C4:C1:AE:14:20:35:A9,"CN=carrier-enroll-ca,OU=carrier enroll CA,O=SupplyLedger Lab,C=CN","CN=carrier-admin1,OU=admin,O=Hyperledger,ST=North Carolina,C=US",09D841966F002513973CC3FEBE2B7519753F0D82,DC:41:1E:94:51:B1:13:6E:7F:48:C0:A2:4C:3D:E3:6A:DF:B9:33:8C,F3:53:6C:F7:67:59:92:63:B0:84:8D:9A:A7:F8:B6:BC:71:CD:6F:9D,DNS:348c1636fbe6,Digital Signature,ABSENT,2026-09-24 12:29:00Z,2027-09-24 13:34:00Z,28:DA:73:E5:2D:98:FE:0D:9E:5F:61:C0:75:CC:0E:C0:D0:95:48:94:EA:02:40:71:DB:7A:0B:A7:2C:BE:02:96,ad577201e8a3cbd995e40a9a3e1aac3d6ab1d0f63f746cca5aa6d8736432bd60,,,.runtime/identities/carrier/carrier-admin1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
